neighbourhood,listing_count
Williamsburg,3920
Bedford-Stuyvesant,3714
Harlem,2658
Bushwick,2465
Upper West Side,1971
Hell's Kitchen,1958
East Village,1853
Upper East Side,1798
Crown Heights,1564
Midtown,1545
East Harlem,1117
Greenpoint,1115
Chelsea,1113
Lower East Side,911
Astoria,900
Washington Heights,899
West Village,768
Financial District,744
Flatbush,621
Clinton Hill,572
Long Island City,537
Prospect-Lefferts Gardens,535
Park Slope,506
East Flatbush,500
Fort Greene,489
Murray Hill,485
Kips Bay,470
Flushing,426
Ridgewood,423
Greenwich Village,392
Sunset Park,390
Chinatown,368
Sunnyside,363
SoHo,358
Prospect Heights,357
Morningside Heights,346
Gramercy,338
Ditmars Steinway,309
Theater District,288
South Slope,284
Nolita,253
Inwood,252
Gowanus,247
Elmhurst,237
Woodside,235
Carroll Gardens,233
Jamaica,231
East New York,218
Jackson Heights,186
East Elmhurst,185
Tribeca,177
Boerum Hill,177
Kensington,175
Sheepshead Bay,164
Windsor Terrace,157
Brooklyn Heights,154
Canarsie,147
Forest Hills,144
Bay Ridge,141
Borough Park,136
Cypress Hills,135
Little Italy,121
Maspeth,110
Midwood,109
Rego Park,106
Cobble Hill,99
Richmond Hill,94
Woodhaven,88
Springfield Gardens,85
Flatlands,83
Downtown Brooklyn,83
Flatiron District,80
Red Hook,79
NoHo,78
Roosevelt Island,77
Arverne,77
St. Albans,76
Brighton Beach,75
Bensonhurst,75
Two Bridges,72
Kingsbridge,70
Battery Park City,70
Gravesend,68
Corona,64
Fordham,63
Ozone Park,62
Longwood,62
Brownsville,61
Queens Village,60
Mott Haven,60
Rosedale,59
Rockaway Beach,56
Briarwood,56
Fort Hamilton,55
Glendale,54
Civic Center,52
Wakefield,50
Concourse,50
St. George,48
Port Morris,46
Tompkinsville,42
Columbia St,42
Allerton,42
Williamsbridge,40
South Ozone Park,40
Parkchester,39
Bayside,39
Stuyvesant Town,37
DUMBO,36
Vinegar Hill,34
Kew Gardens,32
Fresh Meadows,32
Concourse Village,32
Norwood,31
Middle Village,31
Far Rockaway,29
Pelham Gardens,28
Claremont Village,28
Stapleton,27
Highbridge,27
Kew Gardens Hills,26
Concord,26
Cambria Heights,26
Throgs Neck,24
Belmont,24
University Heights,21
Clason Point,21
Arrochar,21
Mount Hope,20
Howard Beach,20
Randall Manor,19
Jamaica Estates,19
College Point,19
Bronxdale,19
West Brighton,18
Morrisania,18
Laurelton,18
Hunts Point,18
City Island,18
Pelham Bay,17
Morris Heights,17
Coney Island,17
Bayswater,17
Bath Beach,17
Soundview,15
Morris Park,15
Clifton,15
Navy Yard,14
Hollis,14
Bellerose,14
Schuylerville,13
Edenwald,13
Eastchester,13
Marble Hill,12
Fieldston,12
Dyker Heights,12
Woodlawn,11
Whitestone,11
Van Nest,11
Tremont,11
Riverdale,11
Edgemere,11
Westchester Square,10
North Riverdale,10
Melrose,10
Great Kills,10
East Morrisania,10
Bergen Beach,10
Port Richmond,9
Castle Hill,9
South Beach,8
New Springville,8
Mariners Harbor,8
Manhattan Beach,8
Jamaica Hills,8
Douglaston,8
Belle Harbor,8
Unionport,7
Tottenville,7
Shore Acres,7
Sea Gate,7
Rosebank,7
Grymes Hill,7
Dongan Hills,7
Baychester,7
Mount Eden,6
Midland Beach,6
Grant City,6
Bull's Head,6
Bay Terrace,6
Oakwood,5
New Dorp Beach,5
New Brighton,5
Little Neck,5
Emerson Hill,5
Todt Hill,4
Spuyten Duyvil,4
Prince's Bay,4
Olinville,4
Mill Basin,4
Holliswood,4
Castleton Corners,4
Arden Heights,4
Neponsit,3
Huguenot,3
Graniteville,3
Eltingville,3
Breezy Point,3
Westerleigh,2
West Farms,2
Silver Lake,2
Lighthouse Hill,2
Howland Hook,2
Co-op City,2
"Bay Terrace, Staten Island",2
Woodrow,1
Willowbrook,1
Rossville,1
Richmondtown,1
New Dorp,1
Fort Wadsworth,1
